lyrics,emotion,lirik_clean
sampai aku tutup usia,bahagia,aku tutup usia
kan aku jaga hatimu sampai aku tua,bahagia,kan aku jaga hati aku tua
walau keriput di pipimu terlihat,bahagia,keriput pipi lihat
takkan goyahkan cintaku yang begitu kuat,bahagia,tak goyah cinta begitu kuat
aku tercipta olehnya. untuk selalu cintai kamu. beri aku kesempatan. untuk bahagiakan dirimu. kamu tercipta olehnya. untuk selalu aku cintai. genggam erat tangan ini. jangan sampai kau lepaskan. sampai aku tutup usia. kan aku jaga hatimu sampai aku tua. walau keriput di pipimu terlihat. takkan goyahkan cintaku yang begitu kuat. kamu tercipta olehnya. untuk selalu aku cintai. genggam erat tangan ini. jangan sampai kau lepaskan. sampai aku tutup usia. kan aku jaga hatimu sampai aku tua. walau keriput di pipimu terlihat. takkan goyahkan cintaku yang begitu kuat. sampai aku tutup usia. kan aku jaga hatimu sampai aku tua. walau keriput di pipimu terlihat. takkan goyahkan cintaku yang begitu kuat. kan aku jaga hatimu sampai aku tua. walau keriput di pipimu terlihat. takkan goyahkan cintaku yang begitu kuat sampai aku tutup usia. kan aku jaga hatimu sampai aku tua. walau keriput di pipimu terlihat. takkan goyahkan cintaku yang begitu kuat. sampai aku tutup usia. kan aku jaga hatimu sampai aku tua. walau keriput di pipimu terlihat. takkan goyahkan cintaku yang begitu kuat,bahagia,aku cipta oleh selalu cinta kamu beri aku sempat bahagia diri kamu cipta oleh selalu aku cinta genggam erat tangan jangan kau lepas aku tutup usia kan aku jaga hati aku tua keriput pipi lihat tak goyah cinta begitu kuat kamu cipta oleh selalu aku cinta genggam erat tangan jangan kau lepas aku tutup usia kan aku jaga hati aku tua keriput pipi lihat tak goyah cinta begitu kuat aku tutup usia kan aku jaga hati aku tua keriput pipi lihat tak goyah cinta begitu kuat kan aku jaga hati aku tua keriput pipi lihat tak goyah cinta begitu kuat aku tutup usia kan aku jaga hati aku tua keriput pipi lihat tak goyah cinta begitu kuat aku tutup usia kan aku jaga hati aku tua keriput pipi lihat tak goyah cinta begitu kuat
menjadi cinta tinggallah kenangan,sedih,jadi cinta tinggal kenang
berakhir lewat bunga seluruh cintaku untuknya,sedih,akhir lewat bunga seluruh cinta untuk
aku persembahkan kepada yang terindah,sedih,aku sembah yang indah
sebagai satu tanda cinta untuknya,sedih,satu tanda cinta untuk
menjadi satu kenangan yang tersimpan,sedih,jadi satu kenang simpan
takkan pernah hilang untuk selamanya,sedih,tak pernah hilang lama
sungguh berarti tetaplah terjaga,sedih,sungguh arti tetap jaga
selamat tinggal kasih akutelah pergi selamanya,sedih,selamat tinggal kasih akutelah pergi lama
aku persembahkan kepada yang terindah,sedih,aku sembah yang indah
sebagai suatu tanda cinta untuknya,sedih,suatu tanda cinta untuk
menjadi satu kenangan yang tersimpan,sedih,jadi satu kenang simpan
takkan pernah hilang untuk selamanya,sedih,tak pernah hilang lama
menjadi cinta tinggallah kenangan,sedih,jadi cinta tinggal kenang
berakhir lewat bunga seluruh cintaku untuknya,sedih,akhir lewat bunga seluruh cinta untuk
aku persembahkan kepada yang terindah,sedih,aku sembah yang indah
sebagai satu tanda cinta untuknya,sedih,satu tanda cinta untuk
menjadi satu kenangan yang tersimpan,sedih,jadi satu kenang simpan
takkan pernah hilang untuk selamanya,sedih,tak pernah hilang lama
aku persembahkan kepada yang terindah,sedih,aku sembah yang indah
sebagai satu tanda cinta untuknya,sedih,satu tanda cinta untuk
menjadi satu kenangan yang tersimpan,sedih,jadi satu kenang simpan
takkan pernah hilang untuk selamanya,sedih,tak pernah hilang lama
kaulah yang pertama. menjadi cinta tinggallah kenangan. berakhir lewat bunga seluruh cintaku untuknya. bunga terakhir. aku persembahkan kepada yang terindah. sebagai satu tanda cinta untuknya. bunga terakhir. menjadi satu kenangan yang tersimpan. takkan pernah hilang untuk selamanya. oh. betapa cinta ini. sungguh berarti tetaplah terjaga. selamat tinggal kasih akutelah pergi selamanya. bunga terakhir. aku persembahkan kepada yang terindah. sebagai suatu tanda cinta untuknya. bunga terakhir. menjadi satu kenangan yang tersimpan. takkan pernah hilang untuk selamanya. kaulah yang pertama. menjadi cinta tinggallah kenangan. berakhir lewat bunga seluruh cintaku untuknya. oh uwo. bunga terakhir. aku persembahkan kepada yang terindah. sebagai satu tanda cinta untuknya. bunga terakhir. menjadi satu kenangan yang tersimpan. takkan pernah hilang untuk selamanya bunga terakhir. aku persembahkan kepada yang terindah. sebagai satu tanda cinta untuknya. bunga terakhir. menjadi satu kenangan yang tersimpan. takkan pernah hilang untuk selamanya. oh,sedih,kau pertama jadi cinta tinggal kenang akhir lewat bunga seluruh cinta untuk bunga akhir aku sembah indah satu tanda cinta untuk bunga akhir jadi satu kenang simpan tak pernah hilang lama betapa cinta sungguh arti tetap jaga selamat tinggal kasih akutelah pergi lama bunga akhir aku sembah indah suatu tanda cinta untuk bunga akhir jadi satu kenang simpan tak pernah hilang lama kau pertama jadi cinta tinggal kenang akhir lewat bunga seluruh cinta untuk uwo bunga akhir aku sembah yang indah satu tanda cinta untuk bunga akhir jadi satu kenang yang simpan tak pernah hilang lama bunga akhir aku sembah yang indah satu tanda cinta untuk bunga akhir jadi satu kenang yang simpan tak pernah hilang lama
kau kan selalu tersimpan di hatiku,sedih,kau kan selalu simpan hati
meski ragamu tidak dapat aku miliki,sedih,meski raga dapat aku milik
jiwaku kan selalu bersamamu,sedih,jiwa kan selalu sama
meski kau tercipta bukan untukku,sedih,meski kau cipta bukan untuk
tuhan berikan aku hidup satu kali lagi,sedih,tuhan ikan aku hidup satu kali
hanya untuk barsamanya,sedih,untuk barsamanya
aku mencintainya sungguh mencintainya,sedih,aku cinta sungguh cinta
rasa ini sungguh tidak wajar,sedih,rasa sungguh wajar
namun aku ingin tetap bersama dia,sedih,aku tetap sama
mengapa cinta ini terlarang,sedih,cinta larang
saat aku yakini kaulah milikku,sedih,aku yakin kau milik
mengapa cinta kita tidak bisa bersatu,sedih,cinta tidak satu
saat aku yakin tidak ada cinta selain dirimu,sedih,aku yakin ada cinta diri
tuhan berikan aku hidup satu kali lagi,sedih,tuhan ikan aku hidup satu kali
hanya untuk barsamanya,sedih,untuk barsamanya
aku mencintainya sungguh mencintainya,sedih,aku cinta sungguh cinta
rasa ini sungguh tidak wajar,sedih,rasa sungguh wajar
namun aku ingin tetap bersama dia,sedih,aku tetap sama
rasa ini sungguh tidak wajar,sedih,rasa sungguh wajar
namun aku ingin tetap bersama dia,sedih,aku tetap sama
tuhan berikan aku hidup satu kali lagi,sedih,tuhan ikan aku hidup satu kali
hanya untuk barsamanya,sedih,untuk barsamanya
aku mencintainya sungguh mencintainya,sedih,aku cinta sungguh cinta
rasa ini sungguh tidak wajar,sedih,rasa sungguh wajar
namun aku ingin tetap bersama dia,sedih,aku tetap sama
tuhan berikan aku hidup satu kali lagi,sedih,tuhan ikan aku hidup satu kali
hanya untuk barsamanya,sedih,untuk barsamanya
aku mencintainya sungguh mencintainya,sedih,aku cinta sungguh cinta
rasa ini sungguh tidak wajar,sedih,rasa sungguh wajar
namun aku ingin tetap bersama dia,sedih,aku tetap sama
kau kan selalu tersimpan di hatiku. meski ragamu tidak dapat aku miliki. jiwaku kan selalu bersamamu. meski kau tercipta bukan untukku. tuhan berikan aku hidup satu kali lagi. hanya untuk barsamanya. aku mencintainya sungguh mencintainya. rasa ini sungguh tidak wajar. namun aku ingin tetap bersama dia. untuk selamanya. mengapa cinta ini terlarang. saat aku yakini kaulah milikku. mengapa cinta kita tidak bisa bersatu. saat aku yakin tidak ada cinta selain dirimu. tuhan berikan aku hidup satu kali lagi. hanya untuk barsamanya. aku mencintainya sungguh mencintainya. rasa ini sungguh tidak wajar. namun aku ingin tetap bersama dia. untuk selamanya. rasa ini sungguh tidak wajar. namun aku ingin tetap bersama dia. untuk selamanya oh. tuhan berikan aku hidup satu kali lagi. hanya untuk barsamanya. aku mencintainya sungguh mencintainya. rasa ini sungguh tidak wajar. namun aku ingin tetap bersama dia. untuk selamanya oh tuhan berikan aku hidup satu kali lagi. hanya untuk barsamanya. aku mencintainya sungguh mencintainya. rasa ini sungguh tidak wajar. namun aku ingin tetap bersama dia. untuk selamanya,sedih,kau kan selalu simpan hati meski raga dapat aku milik jiwa kan selalu sama meski kau cipta bukan untuk tuhan ikan aku hidup satu kali hanya barsamanya aku cinta sungguh cinta rasa sungguh wajar aku tetap sama lama cinta larang aku yakin kau milik cinta satu aku yakin ada cinta diri tuhan ikan aku hidup satu kali hanya barsamanya aku cinta sungguh cinta rasa sungguh wajar aku tetap sama lama rasa sungguh wajar aku tetap sama untuk lama tuhan ikan aku hidup satu kali hanya untuk barsamanya aku cinta sungguh cinta rasa sungguh wajar aku tetap sama untuk lama tuhan ikan aku hidup satu kali hanya untuk barsamanya aku cinta sungguh cinta rasa sungguh tidak wajar aku tetap sama untuk lama
aku dan dirimu sudah jadi satu,bahagia,aku diri jadi satu
di dalam ikatan percaya,bahagia,dalam ikat percaya
ini asmaraku ini asmaramu,bahagia,asmara asmara
sungguh mati sempurna,bahagia,sungguh mati sempurna
oh kau membuatku jadi diriku sendiri,bahagia,kau buat jadi diri sendiri
aku tambah yakin kepada kamu kamu kamu,bahagia,aku tambah yakin kamu kamu kamu
kau adalah yang terindah,bahagia,kau yang indah
yang membuat hatiku tenang,bahagia,buat hati tenang
mencintai kamu takkan pernah takut,bahagia,cinta kamu tak pernah takut
sebab kau terima segala kurangku,bahagia,kau terima segala kurang
baby girl you re sok beautiful our love is like a miracle,bahagia,baby girl you re sok beautiful our love is like a miracle
and itu is more tahan just a physical attraction,bahagia,and is more tahan just a physical attraction
even though we re individuals,bahagia,even though we re individuals
but we have this spiritual connection,bahagia,but we have this spiritual connection
affectionate as always,bahagia,affectionate as always
cause you re the one and only,bahagia,cause you re the one and only
and baby you can call me everytime,bahagia,and baby you can call me everytime
and i ll be there for you and i know you ll too,bahagia,and i ll be there for you and i know you ll too
and i ll love you till the world is stopping up,bahagia,and i ll love you till the world is stopping up
kau membuatku jadi diriku sendiri,bahagia,kau buat jadi diri sendiri
aku tambah yakin kepada kamu kamu kamu,bahagia,aku tambah yakin kamu kamu kamu
kau adalah yang terindah,bahagia,kau yang indah
yang membuat hatiku tenang,bahagia,buat hati tenang
mencintai kamu takkan pernah takut,bahagia,cinta kamu tak pernah takut
sebab kau terima segala kurangku,bahagia,kau terima segala kurang
we ve been together through the worst times girl,bahagia,we ve been together through the worst times girl
but i want you tapi know you still rock my world baby i love you,bahagia,but i want you know you still rock my world baby i love you
and i love itu when you smile you re sok cute girl,bahagia,and i love when you smile you re sok cute girl
hey but don t be jealous,bahagia,hey but don t be jealous
when i sama hanging with my fellas,bahagia,when i sama hanging with my fellas
when me and you together girl feels like the time is endless,bahagia,when me and you together girl feels like the time is endless
and when the time is right i will have you by my side,bahagia,and when the time is right i will have you by my side
sayin this tapi your dad,bahagia,sayin this your dad
sir can i marry your daugther,bahagia,sir can i marry your daugther
di you love me like i love you,bahagia,you love me like i love you
di you love me like i love you,bahagia,you love me like i love you
kau adalah yang terindah,bahagia,kau yang indah
yang membuat hatiku tenang,bahagia,buat hati tenang
mencintai kamu takkan pernah takut,bahagia,cinta kamu tak pernah takut
sebab kau terima segalaku,bahagia,kau terima segala
yang membuat hatiku tenang,bahagia,buat hati tenang
mencintai kamu takkan pernah takut,bahagia,cinta kamu tak pernah takut
sebab kau terima segala kurangku can nobody love you like me,bahagia,kau terima segala kurang can nobody love you like me
kau terima segala kurangku,bahagia,kau terima segala kurang
kau adalah yang terindah,bahagia,kau yang indah
yang membuat hatiku tenang,bahagia,buat hati tenang
mencintai kamu takkan pernah takut,bahagia,cinta kamu tak pernah takut
sebab kau terima segala kurangku,bahagia,kau terima segala kurang
aku dan dirimu sudah jadi satu. di dalam ikatan percaya. ini asmaraku ini asmaramu. sungguh mati sempurna. oh kau membuatku jadi diriku sendiri. aku tambah yakin kepada kamu kamu kamu. kau adalah yang terindah. yang membuat hatiku tenang. mencintai kamu takkan pernah takut. sebab kau terima segala kurangku. baby girl you re sok beautiful our love is like a miracle. and itu is more tahan just a physical attraction. even though we re individuals. but we have this spiritual connection. affectionate as always. cause you re the one and only. and baby you can call me everytime. you feel you want me. and i ll be there for you and i know you ll too. and i ll love you till the world is stopping up. kau membuatku jadi diriku sendiri. aku tambah yakin kepada kamu kamu kamu. kau adalah yang terindah. yang membuat hatiku tenang. mencintai kamu takkan pernah takut. sebab kau terima segala kurangku. here we go. we ve been together through the worst times girl. but i want you tapi know you still rock my world baby i love you . i love you too girl. and i love itu when you smile you re sok cute girl. hey but don t be jealous. when i sama hanging with my fellas. when me and you together girl feels like the time is endless. and when the time is right i will have you by my side. sayin this tapi your dad. sir can i marry your daugther. di you love me like i love you. di you love me like i love you. kau adalah yang terindah. yang membuat hatiku tenang. mencintai kamu takkan pernah takut. sebab kau terima segalaku. kau adalah. yang terindah. yang membuat hatiku tenang. mencintai kamu takkan pernah takut. sebab kau terima segala kurangku can nobody love you like me . kau terima segala kurangku kau adalah yang terindah. yang membuat hatiku tenang. mencintai kamu takkan pernah takut. sebab kau terima segala kurangku,bahagia,aku diri jadi satu dalam ikat percaya asmara asmara sungguh mati sempurna kau buat jadi diri sendiri aku tambah yakin kamu kamu kamu kau indah buat hati tenang cinta kamu tak pernah takut kau terima segala kurang baby girl you re sok beautiful our love is like a miracle and is more tahan just a physical attraction even though we re individuals but we have this spiritual connection affectionate as always cause you re the one and only and baby you can call me everytime you feel you want me and i ll be there for you and i know you ll too and i ll love you till the world is stopping up kau buat jadi diri sendiri aku tambah yakin kamu kamu kamu kau indah buat hati tenang cinta kamu tak pernah takut kau terima segala kurang here we go we ve been together through the worst times girl but i want you know you still rock my world baby i love you i love you too girl and i love when you smile you re sok cute girl hey but don t be jealous when i sama hanging with my fellas when me and you together girl feels like the time is endless and when the time is right i will have you by my side sayin this your dad sir can i marry your daugther you love me like i love you you love me like i love you kau indah yang buat hati tenang cinta kamu tak pernah takut kau terima segala kau yang indah yang buat hati tenang cinta kamu tak pernah takut kau terima segala kurang can nobody love you like me kau terima segala kurang kau yang indah yang buat hati tenang cinta kamu tak pernah takut kau terima segala kurang
jika teringat tentang dikau,takut,ingat dikau
jauh di mata dekat di hati,takut,jauh mata dekat hati
sempat terpikir untuk kembali,takut,sempat pikir kembali
walau beda akan kujalani,takut,beda jalan
tidak ada niat untuk selamanya pergi,takut,ada niat lama pergi
jika teringat tentang dikau,takut,ingat dikau
jauh di mata dekat di hati,takut,jauh mata dekat hati
apakah sama yang kurasa,takut,sama rasa
ingin jumpa walau ada segan,takut,jumpa ada segan
tidak ada niat untuk berpisah denganmu,takut,ada niat pisah dengan
jika memang masih bisa mulutku berbicara,takut,memang bisa mulut bicara
santun kata yang ingin terucap,takut,santun kata ingin ucap
akan aku dengar caci dan puji dirimu padaku,takut,aku dengar caci puji diri pada
kita masih muda dalam mencari keputusan,takut,masih muda cari putus
maafkan daku ingin kembali,takut,maaf daku kembali
seumpama ada jalan untuk kembali,takut,umpama jalan kembali
jika teringat tentang dikau,takut,ingat dikau
jauh di mata dekat di hati,takut,jauh mata dekat hati
tidak ada niat untuk selamanya pergi,takut,ada niat lama pergi
jika teringat tentang dikau,takut,ingat dikau
jauh di mata dekat di hati,takut,jauh mata dekat hati
tidak ada niat untuk berpisah denganmu,takut,ada niat pisah dengan
jika memang masih bisa mulutku berbicara,takut,memang bisa mulut bicara
santun kata yang ingin terucap,takut,santun kata ingin ucap
akan aku dengar caci dan puji dirimu padaku,takut,aku dengar caci puji diri pada
kita masih muda dalam mencari keputusan,takut,masih muda cari putus
maafkan daku ingin kembali,takut,maaf daku kembali
seumpama ada jalan untuk kembali,takut,umpama jalan kembali
jika memang masih bisa mulutku berbicara,takut,memang bisa mulut bicara
santun kata yang ingin terucap,takut,santun kata ingin ucap
akan aku dengar caci dan puji dirimu padaku,takut,aku dengar caci puji diri pada
kita masih muda dalam mencari keputusan,takut,masih muda cari putus
maafkan daku ingin kembali,takut,maaf daku kembali
seumpama ada jalan untuk kembali,takut,umpama jalan kembali
jika memang masih bisa mulutku berbicara,takut,memang bisa mulut bicara
santun kata yang ingin terucap,takut,santun kata ingin ucap
akan aku dengar caci dan puji dirimu padaku,takut,aku dengar caci puji diri pada
kita masih muda dalam mencari keputusan,takut,masih muda cari putus
maafkan daku ingin kembali,takut,maaf daku kembali
seumpama ada jalan untuk kembali,takut,umpama jalan kembali
jika memang masih bisa mulutku berbicara,takut,memang bisa mulut bicara
santun kata yang ingin terucap,takut,santun kata ingin ucap
akan aku dengar caci dan puji dirimu padaku,takut,aku dengar caci puji diri pada
kita masih muda dalam mencari keputusan,takut,masih muda cari putus
maafkan daku ingin kembali,takut,maaf daku kembali
seumpama ada jalan untuk kembali,takut,umpama jalan kembali
jika teringat tentang dikau. jauh di mata dekat di hati. sempat terpikir untuk kembali. walau beda akan kujalani. tidak ada niat untuk selamanya pergi. jika teringat tentang dikau. jauh di mata dekat di hati. apakah sama yang kurasa. ingin jumpa walau ada segan. tidak ada niat untuk berpisah denganmu. jika memang masih bisa mulutku berbicara. santun kata yang ingin terucap. akan aku dengar caci dan puji dirimu padaku. kita masih muda dalam mencari keputusan. maafkan daku ingin kembali. seumpama ada jalan untuk kembali. jika teringat tentang dikau. jauh di mata dekat di hati. tidak ada niat untuk selamanya pergi. jika teringat tentang dikau. jauh di mata dekat di hati. tidak ada niat untuk berpisah denganmu. jika memang masih bisa mulutku berbicara. santun kata yang ingin terucap. akan aku dengar caci dan puji dirimu padaku. kita masih muda dalam mencari keputusan. maafkan daku ingin kembali. seumpama ada jalan untuk kembali. jika memang masih bisa mulutku berbicara. santun kata yang ingin terucap. akan aku dengar caci dan puji dirimu padaku. kita masih muda dalam mencari keputusan. maafkan daku ingin kembali. seumpama ada jalan untuk kembali. jika memang masih bisa mulutku berbicara. santun kata yang ingin terucap. akan aku dengar caci dan puji dirimu padaku. kita masih muda dalam mencari keputusan. maafkan daku ingin kembali. seumpama ada jalan untuk kembali jika memang masih bisa mulutku berbicara. santun kata yang ingin terucap. akan aku dengar caci dan puji dirimu padaku. kita masih muda dalam mencari keputusan. maafkan daku ingin kembali. seumpama ada jalan untuk kembali,takut,ingat dikau jauh mata dekat hati sempat pikir kembali beda jalan niat lama pergi ingat dikau jauh mata dekat hati sama rasa jumpa segan niat pisah dengan memang bisa mulut bicara santun kata ucap aku dengar caci puji diri pada muda cari putus maaf daku kembali umpama jalan kembali ingat dikau jauh mata dekat hati niat lama pergi ingat dikau jauh mata dekat hati ada niat pisah dengan memang bisa mulut bicara santun kata ucap aku dengar caci puji diri pada muda cari putus maaf daku kembali umpama ada jalan kembali memang bisa mulut bicara santun kata ucap aku dengar caci puji diri pada masih muda cari putus maaf daku ingin kembali umpama ada jalan kembali memang masih bisa mulut bicara santun kata ingin ucap aku dengar caci puji diri pada masih muda cari putus maaf daku ingin kembali umpama ada jalan kembali memang masih bisa mulut bicara santun kata ingin ucap aku dengar caci puji diri pada masih muda cari putus maaf daku ingin kembali umpama ada jalan kembali
pagi ini aku bermimpi,sedih,pagi aku mimpi
akankah jadi kenyataan,sedih,akan jadi nyata
bisanya kau mengubah rasa,sedih,bisa kau ubah rasa
apakah rasamu kan sama,sedih,rasa kan sama
aku harap kau pun rasa,sedih,aku harap kau rasa
namun aku sadari akhirnya,sedih,aku sadar akhir
cukup aku rasakan ini,sedih,cukup aku rasa
cukup aku rasakan ini,sedih,cukup aku rasa
tidak usah kau tanyakan lagi,sedih,usah kau tanya
tidak usah kau hindari lagi,sedih,usah kau hindar
pertama kau bilang kau cinta,sedih,pertama kau bilang kau cinta
tapi kamu tidak cinta,sedih,kamu cinta
bagaimana bisa aku percaya,sedih,bagaimana aku percaya
cukup aku rasakan ini,sedih,cukup aku rasa
cukup aku rasakan ini,sedih,cukup aku rasa
tidak usah kau tanyakan lagi,sedih,usah kau tanya
tidak usah kau hindari lagi,sedih,usah kau hindar
kini kau pergi meninggalkan luka ini,sedih,kini kau pergi tinggal luka
sesuka hati kau permainkan rasaku,sedih,suka hati kau main rasa
cukup aku rasakan ini,sedih,cukup aku rasa
cukup aku rasakan ini,sedih,cukup aku rasa
tidak usah kau tanyakan lagi,sedih,usah kau tanya
tidak usah kau hindari lagi,sedih,usah kau hindar
cukup aku rasakan ini,sedih,cukup aku rasa
kau sudah bersama yang lain lain,sedih,kau sama lain
tidak usah kau tanyakan lagi,sedih,usah kau tanya
tidak usah kau hindari lagi,sedih,usah kau hindar
cukup aku rasakan ini,sedih,cukup aku rasa
cukup aku rasakan ini,sedih,cukup aku rasa
pagi ini aku bermimpi. akankah jadi kenyataan. bisanya kau mengubah rasa. jadi makin cinta. apakah rasamu kan sama. aku harap kau pun rasa. namun aku sadari akhirnya. kamu tidak cinta. cukup aku rasakan ini. cukup aku rasakan ini. sakit sekali. sakit sekali. tidak usah kau tanyakan lagi. tidak usah kau hindari lagi. dan hingga kini. kusendiri lagi. kini. pertama kau bilang kau cinta. tapi kamu tidak cinta. bagaimana bisa aku percaya. kata katamu itu. cukup aku rasakan ini. cukup aku rasakan ini. sakit sekali. sakit sekali. tidak usah kau tanyakan lagi. tidak usah kau hindari lagi. dan hingga kini. kusendiri lagi. kini kau pergi meninggalkan luka ini. sesuka hati kau permainkan rasaku. cukup aku rasakan ini. cukup aku rasakan ini. sakit sekali. sakit sekali. tidak usah kau tanyakan lagi. tidak usah kau hindari lagi. dan hingga kini. kusendiri lagi. cukup aku rasakan ini. kau sudah bersama yang lain lain. sakit sekali. sakit sekali. tidak usah kau tanyakan lagi. tidak usah kau hindari lagi. dan hingga kini. kusendiri lagi. kini cukup aku rasakan ini. cukup aku rasakan ini. sakit sekali. sakit sekali,sedih,pagi aku mimpi akan jadi nyata bisa kau ubah rasa jadi makin cinta rasa kan sama aku harap kau rasa aku sadar akhir kamu cinta cukup aku rasa cukup aku rasa sakit sekali sakit sekali usah kau tanya usah kau hindar dan hingga kini sendiri kini pertama kau bilang kau cinta kamu cinta bagaimana aku percaya kata kata cukup aku rasa cukup aku rasa sakit sekali sakit sekali usah kau tanya usah kau hindar dan hingga kini sendiri kini kau pergi tinggal luka suka hati kau main rasa cukup aku rasa cukup aku rasa sakit sekali sakit sekali tidak usah kau tanya tidak usah kau hindar dan hingga kini sendiri cukup aku rasa kau sama lain sakit sekali sakit sekali tidak usah kau tanya tidak usah kau hindar dan hingga kini sendiri kini cukup aku rasa cukup aku rasa sakit sekali sakit sekali
selalu menunggu terus menunggu,bahagia,selalu tunggu terus tunggu
berharap datang seseorang,bahagia,harap datang orang
untuk melengkapi kisah hidup ini,bahagia,lengkap kisah hidup
terlalu sulit melangkah,bahagia,terlalu sulit lang
untuk temukan yang selalu dinantikan,bahagia,temu selalu nanti
hingga kita pun berjumpa,bahagia,hingga pun jumpa
tiada lagi alasan untuk menunda,bahagia,tiada alas tunda
akhirnya kita bersama,bahagia,akhir sama
semoga sih lalu terjaga,bahagia,moga sih lalu jaga
waktu telah berbicara,bahagia,waktu bicara
menanti tidak sia sia,bahagia,nanti sia sia
kar nya kau yang kini ada,bahagia,kar nya kau kini
bertahan di kesendirian,bahagia,tahan sendiri
telah menuntunku menemukanmu,bahagia,tuntun temu
tanpa ragu aku berikan,bahagia,ragu aku ikan
semua rasa cinta yang tersimpan lama,bahagia,semua rasa cinta simpan lama
penantian sih lama ini,bahagia,nanti sih lama
tidak membuatku jera tetap berharap,bahagia,buat jera tetap harap
aku yakin seseorang akan datang kepadaku,bahagia,aku yakin orang datang kepada
akhirnya kita bersama,bahagia,akhir sama
semoga sih lalu terjaga,bahagia,moga sih lalu jaga
waktu telah berbicara,bahagia,waktu bicara
menanti tidak sia sia,bahagia,nanti sia sia
kar nya kau yang kini ada,bahagia,kar nya kau kini
nya nya nya nya nya nya nya nya nya nya nya nya ho ho ho oh,bahagia,nya nya nya nya nya nya nya nya nya nya nya nya ho ho ho
nya nya nya nya nya nya nya nya nya nya nya nya nya oh oh,bahagia,nya nya nya nya nya nya nya nya nya nya nya nya nya oh
nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya,bahagia,nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya
nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya wo,bahagia,nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya wo
akhirnya kita bersama,bahagia,akhir sama
semoga sih lalu terjaga,bahagia,moga sih lalu jaga
waktu telah berbicara tak sia sia,bahagia,waktu bicara tak sia sia
menanti tidak sia sia,bahagia,nanti sia sia
kar nya kau yang kini ada,bahagia,kar nya kau kini
akhirnya kita bersama,bahagia,akhir sama
semoga sih lalu terjaga,bahagia,moga sih lalu jaga
waktu telah berbicara,bahagia,waktu bicara
menanti tidak sia sia,bahagia,nanti sia sia
kar nya kau yang kini ada,bahagia,kar nya kau kini
dahulu kita terbiasa. selalu menunggu terus menunggu. berharap datang seseorang. untuk melengkapi kisah hidup ini. terlalu sulit melangkah. untuk temukan yang selalu dinantikan. hingga kita pun berjumpa. tiada lagi alasan untuk menunda. akhirnya kita bersama. setelah menanti lama. semoga sih lalu terjaga. ah ha uh oh oh. waktu telah berbicara. menanti tidak sia sia. kar nya kau yang kini ada. ah ha uh oh oh. sangatlah berharga. bertahan di kesendirian. telah menuntunku menemukanmu. tanpa ragu aku berikan. semua rasa cinta yang tersimpan lama. penantian sih lama ini. tidak membuatku jera tetap berharap. aku yakin seseorang akan datang kepadaku. menggenggam tanganku. akhirnya kita bersama. setelah menanti lama. semoga sih lalu terjaga. ah ha uh oh oh. waktu telah berbicara. menanti tidak sia sia. kar nya kau yang kini ada. ah ha uh oh oh. sangatlah berharga. sangat berharga. penantian. sangatlah berharga. penantian. nya nya nya nya nya nya nya nya nya nya nya nya ho ho ho oh . nya nya nya nya nya nya nya nya nya nya nya nya nya oh oh . nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya . nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya wo . akhirnya kita bersama. setelah menanti lama. semoga sih lalu terjaga. ah ha uh oh oh. waktu telah berbicara tak sia sia . menanti tidak sia sia. kar nya kau yang kini ada. ah ha uh oh oh. sangatlah berharga akhirnya kita bersama. setelah menanti lama. semoga sih lalu terjaga. ah ha uh oh oh. waktu telah berbicara. menanti tidak sia sia. kar nya kau yang kini ada. ah ha uh oh oh. sangatlah berharga. sangat berharga. penantian. sangatlah berharga. penantian,bahagia,biasa selalu tunggu terus tunggu harap datang orang lengkap kisah hidup terlalu sulit lang temu selalu nanti hingga pun jumpa tiada alas tunda akhir sama nanti lama moga sih lalu jaga ah ha uh waktu bicara nanti sia sia kar nya kau kini ah ha uh sangat harga tahan sendiri tuntun temu ragu aku ikan semua rasa cinta simpan lama nanti sih lama buat jera tetap harap aku yakin orang datang kepada genggam tangan akhir sama nanti lama moga sih lalu jaga ah ha uh waktu bicara nanti sia sia kar nya kau kini ah ha uh sangat harga sangat harga nanti sangat harga nanti nya nya nya nya nya nya nya nya nya nya nya nya ho ho ho nya nya nya nya nya nya nya nya nya nya nya nya nya oh nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya nya wo akhir sama nanti lama moga sih lalu jaga ah ha uh oh oh waktu bicara tak sia sia nanti sia sia kar nya kau kini ah ha uh oh oh sangat harga akhir kita sama nanti lama moga sih lalu jaga ah ha uh oh oh waktu bicara nanti tidak sia sia kar nya kau kini ah ha uh oh oh sangat harga sangat harga nanti sangat harga nanti
terima kasih untuk luka yang kau beri,marah,terima kasih luka kau beri
aku tidak percaya kau tlah begini,marah,aku percaya kau tlah begini
dulu kau menjadi malaikat di hati,marah,dulu kau jadi malaikat hati
sampai hati kau telah begini,marah,hati kau begini
